"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046683","response to organophosphorus","12/669","129/18860",0.0930232558139535,2.62244933430667,3.54592559949137,0.00214359053387002,0.0270554285890943,0.0218659947450306,"NT5E/ASS1/SCX/LPAR1/COL1A1/STC1/PDE4D/FOS/HCN2/WT1/P2RY1/ABCC9",12
"GO:0002367","cytokine production involved in immune response","12/669","130/18860",0.0923076923076923,2.6022766471197,3.51547806639677,0.00228746153698706,0.0284471486154177,0.0229907724465529,"RSAD2/TNFRSF1B/WNT5A/HFE/TRIL/TGFB2/RIGI/GPRC5B/SPON2/HLA-F/KIT/SECTM1",12
"GO:0002718","regulation of cytokine production involved in immune response","12/669","130/18860",0.0923076923076923,2.6022766471197,3.51547806639677,0.00228746153698706,0.0284471486154177,0.0229907724465529,"RSAD2/TNFRSF1B/WNT5A/HFE/TRIL/TGFB2/RIGI/GPRC5B/SPON2/HLA-F/KIT/SECTM1",12
"GO:0021675","nerve development","10/669","97/18860",0.103092783505155,2.90632271585533,3.60973444019358,0.00231197690025388,0.0284476567510245,0.0229911831179445,"SLITRK6/BDNF/LPAR1/EGR2/MAFB/NTF3/NKX2-2/NDP/LRIG1/NGFR",10
"GO:0045103","intermediate filament-based process","10/669","97/18860",0.103092783505155,2.90632271585533,3.60973444019358,0.00231197690025388,0.0284476567510245,0.0229911831179445,"KRT19/AGFG2/KRT80/NES/DSP/ATP8A2/PPL/KRT16/KRT15/KRT34",10
"GO:0015721","bile acid and bile salt transport","5/669","27/18860",0.185185185185185,5.22061673033272,4.20864357299783,0.00233445487128213,0.0284476567510245,0.0229911831179445,"ABCC3/ABCC2/NR1H4/SLCO2B1/CEACAM1",5
"GO:0035883","enteroendocrine cell differentiation","6/669","39/18860",0.153846153846154,4.33712774519949,4.00062541999113,0.00234106345773369,0.0284476567510245,0.0229911831179445,"WNT5A/NKX2-2/DLL1/BMP4/PAX6/INSM1",6
"GO:0048144","fibroblast proliferation","11/669","114/18860",0.0964912280701754,2.72021608580495,3.53285022542918,0.00242440725925026,0.0293045417130011,0.0236837111262877,"WNT5A/PDGFD/PDGFB/EREG/PDGFA/WNT7B/GAS6/PDGFRA/LIF/ABCC9/NGFR",11
"GO:0048661","positive regulation of smooth muscle cell proliferation","10/669","98/18860",0.102040816326531,2.87666636161191,3.57194401862363,0.00249494654832076,0.0298413894745485,0.0241175874662695,"MAP3K5/PDGFD/PDGFRB/ADAMTS1/PDGFB/ITGA2/EREG/HBEGF/BMP4/ID2",10
"GO:0039529","RIG-I signaling pathway","5/669","28/18860",0.178571428571429,5.03416613282084,4.09664823559748,0.00276015249788659,0.0317660875638384,0.025673114046364,"OASL/OAS3/RIGI/BIRC3/RNF125",5
"GO:0003018","vascular process in circulatory system","20/669","283/18860",0.0706713780918728,1.99232016563934,3.22553193801463,0.0027910875359407,0.0319611001296067,0.0258307217414061,"ABCC3/EDNRB/ABCC2/SLC2A3/ADRA1B/HTR1D/GUCY1A1/DOCK4/SH3GL2/SLC38A3/CDH5/FOXC2/SLIT2/ADRA1D/CD38/SLCO2B1/P2RY1/ACTA2/CEACAM1/ABCC9",20
"GO:0090287","regulation of cellular response to growth factor stimulus","25/669","385/18860",0.0649350649350649,1.83060586648031,3.15774631928241,0.00282211477083866,0.0322356059699045,0.0260525753055316,"SOX11/NREP/WNT5A/VASN/TSC22D1/DKK1/TGFBR3/NRXN1/SPRY1/ADAMTS12/GPC1/SHISA2/PMEPA1/NOG/CDKN1C/SPRY4/CDH5/DLL1/PROX1/SLIT2/BMP4/CYFIP2/SFRP4/FGFBP1/NGFR",25
